,reviews
73,"Not Verified |  Granted flights were delayed, so the SW terminal was packed. However, my flight was on time. Because of the droves of people around the woman calling out boarding information, I could not hear her. She used a tiny microphone which actually none of us could hear. She then chose to yell out information which no one could hear either. Being my first time flying SW, I unfortunately, hadn’t researched how they board people. I had no idea where “C” was and asked around to finally find where my boarding area was. There was a fellow “C” woman who moved around, so I followed her. She said that since “A loaded, C could now line up.” It was then I figured out what the other number was on my ticket- so I lined up in that spot that was on a sign. As I got on the plane, I asked the flight attendant how I get a seat, “you just chose anything open.” I had no idea. And I had checked my boarding pass and even “pre-boarded.” How did I miss this information? It truly was a cattle call boarding experience. Luckily there were some very nice people to help me along in the boarding process as to where to go. What a joke. What has happened to public transportation?"
74,"Not Verified |  Southwest - maybe fly, maybe not. The gambling of your Vegas trip starts the moment you book a Southwest flight. Will you actually get there, or will they cancel your flight? Well, I am not lucky in cards - so my flight got cancelled just because. No inclement weather, no real reason. Just the fact that Southwest is incapable of doing their job of scheduling and has no care for their passengers time nor plans. So what they refunded the money? That’s not what I was looking for - I was looking to see my friend and make memories. But their rebooking is just ridiculous. Delaying my weekend trip until Saturday night, no other options, no other compensation. They are professional at cancelling flights without a second thought and then basically insulting you with their rebooking. I will never book Southwest again, I would rather invest in a reliable airline to actually get to my destination. Now I have a ruined vacation I was looking forwards to for my first mother’s day and my only option was to cry about it."
75,Not Verified |  Once again Southwest proves it is incapable of getting me to my destination in a timely manner. After cancelling my flight I rebooked only to be delayed twice and left hanging in Burbank.
76,"✅ Trip Verified | I normally really enjoy flying Southwest, but over the last year or so I have acquired a bad taste for them. I flew 11 May 2023 from BWI to Tulsa through St. Louis and I paid for Business Select so I could be in the first boarding group. When I checked in I was A01, which would mean I could get to my choice seat early and get my bag in an overhead bin. Yet there were 20 pre boarders on the first leg and 18 on the second leg - many who walked into the plane (only 5 wheel chairs total) The boarding process has become a joke as pre boarders, sit in the front 3-5 rows. So I think I'm going to request that every time I fly now because I pay $100 or so extra to get first choice of seat and overheard, yet that is no longer available because ALL pre borders have forced those who pay extra to sit in what's left. Sad thing is, many were able to walk to bathroom, get their luggage in and out of the overheads without issue. Southwest needs to recognize those who pay extra for their seats choice and have anyone who wants to pre board be required to sit in the back of the plane."
77,Not Verified | Horrible customer service. Ridiculous boarding policy. Will never fly again. I do not recommend. Pick any other economy airline and have a better experience.
78,"Not Verified |  Southwest has terrible scheduling, delays, being late causing lay overs. What does it honestly take to get a schedule correct, not having hours of delay. No more Southwest for me and my family."
79,"✅ Trip Verified |  SouthWest has left my wife and I stranded in Seattle on our way to our honeymoon to Bali. Flight changes for our international flight now cost 5K and southwest says they are not responsible for flight delays and inability to get me to my destinations on time! I have never had such a negative overall experience during my travels that I had to take a moment just to air out the grievance at 4AM while still traveling.  A short hour flight became a 3-hour overall flight due to inclement weather and being re-routed to Grand Rapids Michigan. I understand that inclement weather cannot be controlled and safety is priority. One would assume as a purchaser of a connecting flight that when a portion of that flight is off schedule the airline will adjust as needed to still get the customer to their destination in a timely manner. I was not given any reasonable options as I was on my way to catch an international flight to Bali, Indonesia and had to be in LAX by 4AM, I was given a ticket to get into LAX at 9:30AM. Adjustments were made to get me flown to Seattle after waiting all night to get my bags in order to re-check them I was treated extremely poorly by the check-in bag personnel who was training another employee. She was very curt, abrasive, dry, and mean. When I brought it to her attention that I had been stuck awake in the airport all night and that I did not appreciate her demeanor she brushed it off and continued in a very aggressive energy to nitpick anything i said or did, such as placing both bags on the scale after the first one had been weighed. When I again emphasized the poor fashion in which she was treating me she said she ""refused to serve me any longer"" which to my knowledge is only acceptable in scenarios of disrespect and while i felt severely disrespected by her treatment of my person, I did not act in any disrespectful fashion toward her. I am distraught as a whole at the incredibly poor showing Southwest is giving me during my travel toward my honeymoon with my wife who lives apart from me due to our work as physicians."
80,"Not Verified | Southwest continues to be our go-to airline with 12 roundtrips this year so far. The service, price, baggage policy, and cancellation/change policy cannot be touched by any other airline. The price cannot be matched by any other airline. After looking at other options, I cannot fathom why anyone wouldn't choose Southwest first. We love em."
81,"Not Verified |  A great experience, amazing flight attendants on both flights. Flights on time a lot of positive energy.. As a 10 year plus loyal customer that's our only airline."
82,"✅ Trip Verified |  Normally fly with United Airlines but decide to try SouthWest airlines since Military Fare discount when you call. So far United is better when it comes to boarding for military first. Military boards after A group on Southwest Airlines. I will probably just go back to United Airlines, unless United Airlines doesn’t do military fare discount."
83,"Not Verified |  I left my carry on bag at the passenger pickup in Las Vegas. Southwest Airlines Baggage Claim not only secured my bag, but went above and beyond to send it to me in St George within 2 days at no charge to me. They were so kind and considerate! Thanks again."
84,"Not Verified |  I had a horrible trip. I booked a trip from Oakland Ca. to Savannah Ga. in Nov. 2022. I HATE flying early, so I booked a flight that had a reasonable, late-morning departure and paid the extra money for a better schedule. About a week before my trip in April of 2023, Southwest canceled my flights and rebooked my whole trip. So, I had to get up at 3.30am to be at the airport by 4.30am for my new take-off time of 5.55am. Exactly what I didn't want and paid extra to avoid. There was no refund for my extra payment when they forced me onto the early undesirable schedule. Then.... On my return home from Savannah, our plane was delayed taking off at the Savannah airport. It turns out the fuel truck for our plane didn't have enough fuel in it. Seriously. So they went and got more fuel and then refuelled our plane which caused a delay to our connection in Houston. We would have had 9 minutes (given the delay for fuelling) to catch our flight in Houston, but Southwest elected to keep the plane to Oakland on time and leave us behind. Great. Now we are rebooked through Southwest for a flight the next day and we are in Houston overnight. And guess what? I have to get on a plane at 6.15am which is exactly why I paid extra money for my original schedule to avoid. The representative at the Houston airport was really nice (Angie G.) and we got a hotel voucher and a $200 Southwest voucher. But this just isn't enough. I'm arriving 16 hours late. I'm staying in a city overnight that I don't care to be in, and cutting my sleep for the second time in a week to keep a flight schedule that I didn't authorize or sign up for. I paid my pet sitter $200 to stay the night in my home and take care of my pets unexpectedly for the extra night. Where is the actual compensation for the 16 hours of my life that I spent overnight in Houston? I had to eat. I had to pay my pet sitter. I lost sleep and essentially, I lost an entire day of rest at home before my work week. This is just awful. I don't know what is going on with this airline, but I have no interest in your voucher to plan a trip with you ever. So......maybe it's time to think about what is actually fair in this awful situation that you created?"
85,"Not Verified | Flight was uneventful. Pleasant. Upon landing at my connection no wheelchair was there for me. And it is in my file too have one. SW ticket agent said wait and one will come to get me. After about 10 minutes I knew I wouldn't have enough time to get to my connecting flight. I found a wheelchair and walked pushing the wheelchair towards my connecting gate which was at the farthest end of the airport last gate. A SW employee saw that I was struggling and had me sit in the wheelchair and he took me the rest of the way to the gate. He wasn't called he just saw that I was having a hard time. I'm traveling again on the 3rd and I thought I should call and make sure wheelchair will be at my gate so I called customer service spoke with a lovely lady. I did not complain about what happened (no one for me there at the gate) but I thought I better call and make sure that doesn't happen again. She was so nice she told me what to do so this doesn't happen again. I felt really cared for and I could tell she was making sure it was clearly in my file. FYI, I may not look handicapped, because I try hard not to. But I cannot stand for very long, definitely can't carry much weight because server double scoliosis, both knees bone on bone and osteoarthritis back, knees, shoulder and hip. This is nobody's business at I don't have to say what my handicap is. If one person reads this and ""gets it"" well, I'll consider that one less person in the world that won't look at wheelchair person like their just trying to slip the line or get a better parking space. Just remember when you see someone in a wheelchair, who gets in and out of it, remember you don't always ""see"" what their going through. I would rather be standing and waiting instead of be getting in a wheel chair in pain."
86,"Not Verified | Worst airline experience ever flying. They are shameful. Cancelled flight to get to funeral, and replacement flight was 6 hours after the funeral. The airline could have accommodated us but despite being on standby, they took only frequent flyer passengers, which bumped us down the list. We missed the funeral. Southwest is the worst airline ever and made no concessions to help us arrive after they cancelled our outbound flight. You are at the mercy of this miserable airline. Highly recommend other competing airlines. "
87,"Not Verified |  Flew last minute, paid a premium, unable to complete early check in due to common last name and S W requiring check in at airport. Would have gladly paid premium to board early and sit next to my husband and store my carry on item. Flight full. Favoritism with the flight attendants for seats and carry on storage. Unable to get a seat next to my husband. Unable to bring carry on, it was within requirements, due to not enough carry on spots on flight. Had to check luggage on connecting flight. Crammed in seats. No guarantee luggage will make to final destination now. Very disorganized. Will never fly Southwest again. Flight leaving 45 min late due to disorganization. No incentive offered even though they new the flight was overbooked and that there wouldn’t be enough room for carry on for flight. Thank you southwest for a great way to start a trip!"
88,"Not Verified | First and last time with Southwest. Delayed both ways. We were in the airport for at least 6 hours waiting for our flight back home. Finally got back just in time to go to work without sleeping. The seats were like rocks, extremely uncomfortable. Even the app works poorly. Only fly Southwest if there are no other options and you don’t have a schedule to keep."
89,"✅ Trip Verified |  I fly frequently for and 9 out 10 times I have a delay with Southwest Airlines. All I want to do is is get home today and once again another delay. Pay extra and book with another airline and get to your destination within  time. I can understand an occasional, but all the time. "
90,"✅ Trip Verified |  LAX to San Jose and back to LAX the next day. Only when we started lining up to board did the ground crew start to activate the aircraft. We started boarding 10-15 minutes later and thanks to the quick work of the Southwest crew, we departed quickly and the flight was delayed by 7-10 minutes. Southwest offers Economy class seats and their seats are not too comfortable nor is it terrible.  I wish that their seats would recline just a bit further back though, There is an open-seating policy, which means that you are not assigned a seat prior to boarding and you can choose where you would like to sit. Flight attendants on Southwest were kind, friendly, and funny. Food and beverages are not exciting as they only offer snacks and a couple beverages like soda and hot chocolate, snacks and drinks are also free, except for alcohol. There are no IFE screens, but you can access a variety of entertainment by connecting to Southwest's WiFi that costs $8 per flight. The WiFi is quite slow however."
91,✅ Trip Verified |  This was my 2 kids first flight. They enjoyed flying into Detroit. The highlight of their experience came on the flight back the next day. Our pilot was a 25 year old female. Beautiful take off and Beautiful landing. She even took their experience further. She let them take pictures with her. Wherever you are young lady please keep doing what you are doing. You bring inspiration to other young ladies. You were so patient and so kind to my kids. I just wanted to thank you for your hospitality and grace. You are one of a kind. If we ever cross paths with you again it would be a blessing. 
92,"Not Verified |  We tried to check in at Bradley International Airport and was told we needed a QR code. We had no idea what that was or how to get it. There were several people behind us and and we were concerned about catching our flight on time. A young agent at the desk took me aside and helped us with the whole form, calmed us down and got us on our way in time. His name is Tion and should be recognized for that. The other agents said they couldn’t help us. Please thank him for us."
93,"Not Verified | we reached our destination at the Austin, TX airport, there was still a plane in the way, and we had to wait before we could unload. While waiting, one of the attendants, took out his guitar and played a couple of songs, to pass the time. It was wonderful. Not only did it make the time go by faster, but he had a really good voice. I had been seated next to a young college girl, who apparently didn't like his singing. She said aloud so that I could hear her, that she was going to notify the airline that she was offended, and that he needed to work somewhere else. She was giggling at that time. She got on her phone and started to look up the airline to notify them. When the attendant stopped singing; I clapped really loud (along with many others) so that she would know that I did like it, and appreciated him putting himself out there, like that. His songs were country music and nothing in them could have been considered offensive to anyone, that I could imagine. I just wanted to let everyone know how ridiculous this young girls behavior was, just in case she did actually do as she said, and try to make him lose his job. He actually made the flight much better."
94,"✅ Trip Verified | I was stranded at Las Vegas on April 8th, I came in on another airline. It arrived late, I proceeded to the gate number on my itinerary. Got there; they had changed the gate number. Had to literally run across the airport to the new gate number. The flight already took off. I had to get the Phoenix, plus my heart meds were in my suitcase that was already on its way on the missed flight. I went over to the Southwest counter, where I was greeted by a very nice gentleman. He took care of me, got me on the very next flight which was boarding in ten minutes and it was two minutes away from my current location. I got on the plane, got a great seat. Was greeted by a very nice woman and a man. I can’t thank them all enough. All in all I was saved and arrived quickly and without incident!"
95,"✅ Trip Verified | I have been flying out to Colorado Spring every month for the past 7 months for medical reasons and almost all my Southwest flights are delayed which is costing me more money on wasted hotels, rental cars and stress. The only thing I can count on is them being late. They are rarely on time. Their flight times are merely suggestions not actual times you can count on."
96,"Not Verified |  Reno-Vegas. As usual flying Southwest out of Reno is a breeze. Check-in using self service kiosk was effortless as was bag drop. We were the only passengers checking in and it was an hour before the flight. TSA was empty so went right on through in no time at all. Arrived at gate and grabbed a bite to eat and then boarded the plane. Full flight, usual beverage and snack while in the air. Free wifi worked fine but since it's only an hour flight not really time to get too involved with the movies and shows offered. Arrived in Vegas and luggage was coming off the belt as we arrived at the carousel. Ground staff and cabin crew all did their jobs and made for a pleasant trip. No complaints."
97,"✅ Trip Verified |  I paid for a business select ticket obviously more than an economy ticket only to find out that this does not get you any better class of seat, all I got in exchange for more than double the price was the opportunity to board the plane first. The seats are the same size as Economy the baggage allowance the same and I was 3lbs over and they wanted to charge me $75 usd. Lucky I has a back pack I could move an item over into. Once boarding customers just scramble onto the flight and grab what ever seat they like, it reminded me of back in my school days catching the bus home and all us kids racing to grab the best seats. The people who ended up sitting next to me just purchased economy seats and had the same exact service as me, this is just strange to me that I paid more and got the same seat, the same luggage allowance as customers who paid half the price. First and last flight with Southwest."
98,"✅ Trip Verified |  Took the Southwest flight 2952 from Denver to Ontario and I was lucky that I did. The stewardesses were Taylor, Melissa, and Jennifer and they were fantastic! Special shout out to Taylor, professional, but interactive and attentive. They made this flight enjoyable ... nice work Southwest!"
99,"Not Verified |  Had an amazing flight until my husband got sick, but then was made great again by super helpful attendants who were very patient and caring and made sure he was alright before letting us leave. Thank you so much for having such great staff!"
100,"✅ Trip Verified |  I’ve flown SW a lot. Usually not a problem. March 14 2023 snow in New England, geez I got up at 4 am drove 45 miles in storm got there two hours early for 8 am flight. No delay notice til 6:37am. Then a cancellation notice. Then a rebook notice on different flight. All with in ten minutes, ok parked car went to Bradley. No one at SWA turned up for work. Well 1 guy did. Not one SW flight came or went at Bradley. Had to book a flight on Delta and pay$$$. Ok it snowed. Other airlines doing there jobs, yeah. Thank goodness SW was not able to buy other airlines recently. Guess they did not fix issues from XMas debacle."
101,"✅ Trip Verified | Worst airline. Flight time was altered via text message a total of 5 times in 4 hours. Ended up being delayed just under 2 hours (surprise! No compensation if under 2 hours, of course!) Requested a pre boarding ticket on check in due to cardiac condition and was not issued the proper designation until we got to the Gate and denied early boarding. Staff was rude and unsympathetic"
102,"Not Verified |  The very worst I have ever been treated was on Southwest Airlines in Baltimore. It was between flights and I needed a wheelchair. We had requested a wheelchair in advance but there wasn’t one available. It took a long time to get to the next flight and the agent for the next flight was rude and treated us like we were the worst passengers ever for being late to the gate. While in the loading bridge I made a comment to my husband and said “ why does she have to be so bxxxxy"" , she heard the comment and forbid me to fly on the flight. I am a 61 year old woman who was waiting to have a knee replacement surgery. I do not feel that my comment would somehow put anyone in danger. The agent did not like my comment and she decided to use her power to punish me. I will never forget this as long as I live. I will not forget the way this made me feel and what I missed that was caused by her using the power of the FAA giving airline employees the right to treat passengers any way they want. I try to avoid flying on Southwest Airlines, the employees have become increasingly rude on the ground. The flight attendants are not as bad but Southwest was always suppose to be the “fun airline”. This could not be further from the truth. It would be so nice to have a seat assignment"
103,Not Verified |  Southwest says at check in they are not responsible for damage to bags. I get to my destination and my bag was damaged. This isn't the first time... Coincidence? Handle with care Southwest. It's not rocket science. Your loading luggage. Don't be lazy.
104,"Not Verified |  I was scheduled to fly home Wednesday, but the flights were cancelled on Tuesday due to predicted snow and rescheduled for Saturday. We called because we can't just spend an extra week because of a bit of snow and they insisted that there were no flights until Friday. I later found out that they were lying and there were still Wednesday flights that they let other people on. They refused to reimburse any expenses that we occurred while being forced to stay half a week, then the Saturday flight was delayed and they told us it was impossible to make it home until Sunday. They kicked everyone with our destination off the plane, then forced us back on so we could no longer sit together in the seats that we had originally sat in and were forced to sit in the middle since everyone moved to the better seats while we were forced off the plane. I still haven't made it home and am very upset with how incompetent Southwest has been. Yes, they are cheap, no it is not worth it."
105,"Not Verified |  Our flight out of Milwaukee was delayed causing us to miss our connection at Nashville for Panama City Beach! I was traveling with my 92 yr old Mother and it was extremely late at night after a long day. Every single one of the Southwest employees we interacted with was professional and empathetic, and did everything they could to help get us rerouted to a flight the next day, hotel and shuttle in Nashville. They compensated us very nicely for the inconvenience. the next day our luggage was not routed on to PCB the way it would have been. The luggage manager, Josie, at PCB went above and beyond to help get it back for us as soon as possible! She was fantastic!"
106,"✅ Trip Verified | I was at the Clev boarding gates and the gentlemen said my purchased 2nd seat wasn’t printed properly and kept my boarding pass but he would bring it to me once corrected. Got on a the plane nothing to hold my 2nd seat and couldn’t get the attention of the flighty stewardess at the front to advise. Once the plane was completely full the guy from boarding gates came and loudly announced to the couple next to me that one of them had to move to another flight due to that seat already being purchased. After they questioned him since they were there and seating is fcfs - he loudly announced in front of entire plane “it’s because of her size it’s a safety issue”. The entire plane laughed and talked about me the entire flight saying I should have been made to get off. I cried the entire flight home of embarrassment since my weight is due to a medical condition. SW promised me a LUV voucher for my “inconvenience” which was routed to the wrong email (not one on my complaint) and then refused to deal with me any further. I am advising please avoid SW if you are of size! When I flew American in the past, they were much more understanding and private in their interactions about my second seat purchase. SW ruined my self esteem and created any future flying with a traumatic experience worrying the same will happen again. SW was very blatant and careless about discriminating against someone of size."
107,"✅ Trip Verified | I entered Premium Economy as I paid the fee to upgrade my boarding status so I could get a seat in the front of the plane on a preferred aisle seat. This was fine in Cancun but, when I was to board in Houston passengers who were taken off the plane were allowed to board prior to those of us who had paid for the priority boarding/seats and occupied the forward seats despite most not having paid for the seats. This also occurred when departing Nashville. The only difference being the passengers continuing on who came in on the flight were allowed to remain on the plane and improve their seats prior to our boarding. I was forced to more than halfway back in the plane. If these people are continuing on, they should board in the respective class with those boarding at the gate. Southwest is basically stealing the upgrade fee as their terrible policy of disregarding those have paid for early boarding despite those who improve their seats without paying for the privilege. In flight wifi/entertainment was not working and there are no charging ports or receptacles to charge devices. This was my first experience with the airline and I plan on it being the last. At least if I pay for Premium Economy or Business class I am able to receive my monies worth. The seats were very uncomfortable. That is enough, I think you get the point. I definitely advise you to find another airline."
108,"✅ Trip Verified | I’m pretty sure that Southwest can not afford to continue to lose passengers. I traveled with a 10 week old puppy. I paid the fee $95. Which I was ok with until they said I had to check my bag because she counts as my carry on. If she counts as my carry on why is there a fee. She’s not taking up any extra space. She weighs less than a normal carry on as well. I was told she had to be under the seat for take off and landing but on the plane the flight attendant was extremely rude. She told me she had to go back in her pet carrier. I explained what I was told and she continued to be extremely rude. I proceeded to put her back in her carrier under the seat, where she remained. The flight attendant came back to ask me my last name and then asked if I ‘she was even a paid pet’. I proceeded to show her my receipt and the tag on the carrier. Stated if she was that concerned she should have checked when I boarded and not half way through the flight. I had my jacket on my lap and every time she passed by made me lift my jacket to show she wasn’t on my lap. Which she never was - she remained in the carrier for the remainder of the flight. They have lost another customer due to very rude employees. If the rule is they have to stay in the carrier for the duration of the flight that should be clearly communicated when checking in. Also there is always a polite way to deal with customers but the employees continue to be unnecessarily rude. I will make sure to tell everyone that travels with pets my experience from now on. Word of mouth travels incredibly fast. ."
109,"✅ Trip Verified | What is going on with SW?? On a return flight from Puerto Rico to Denver, Southwest canceled the second leg of our flight out of Tampa, while we're in the air to Tampa, citing ""weather"". After doing much research and having our local news look into this, it appears that only the SW flights were canceled into Denver, other airlines were arriving as scheduled. The actual statistic for that evening were 47% of SW flights were cancelled into Denver and less than 5% of other airlines were cancelled. The FAA did not issue any closures or delays to Denver. I can't imagine why weather would be an excuse when no one else was using it. After talking to the agents, we kept being told that there were no other flights that evening, when in reality, there were. We just weren't offered those flights. And yes, there was availability according to the website. And they weren't canceled! We received some of the most unapologetic, uncaring, and disingenuous treatment from Southwest Airlines across the board. From the gate agent to the ticketing agent to the baggage agent to the customer service rep. After leaving the airport (because our flight was changed to a 5AM flight the following day), I called to inquire again if there were better flights, I had to wait ONE to TWO hours just to speak to a live person. Our options to return were an early morning flight or an evening flight for a non-stop flight. There was no way I was going to chance taking a flight with a layover anywhere, Southwest is not to be trusted and I didn’t want to get into a situation where we were then stranded at yet another airport. I don’t know what is going on with Southwest and why their business model is falling apart. SW used to be my “go-to” airline (we even had the credit card but have since retired it due to the airline’s inconsistency with flights). If SW thinks it's ok to strand passengers in random places just to make their “customary playbook” profitable, then they are not focusing on what is important. The local news received a disingenuous reply from a SW rep regarding our situation but also showed some telling facts: ""Many of the flights we proactively canceled at the start of today were in anticipation of operational conditions in Denver."" Southwest cancelled our flight in the morning and we were not notified until we were in the air on our way to Tampa. If we had been notified we would have chosen to stay (at our own expense) in San Juan to spend more time with our family, but we were not given that option. Other airlines always lets us know when a flight is going to be delayed or cancelled and they do this in advance and they let us change our flight to a time that works for us. SW does not offer this. Their system is antiquated and not user-friendly. We are disgusted with the treatment we received. They are losing loyal customers left and right. Why do they keep treating your passengers this way? Shame on you Southwest!"
110,"✅ Trip Verified | I had SWA tickets from ONT to ATL with a connection in Dallas. Southwest clearly lost control of their operation on 1/30-31 and stranded me in Vegas. Ok, there was ice in Dallas, but I would have been happy to keep my hotel room and car another day to avoid being stranded. They kept telling me to come to the airport as they had rescheduled my flight. Instead they cancelled my flight FIVE times and promised me each time that I could reach my destination on time. I asked if there was any chance of missing my connection and SW said no. I think they were fabricating stories because they got me to give up my hotel room, rental car. One time in ONT they pushed off from the gate and rode around on the runway and then parked right back at the gate. It was hot in the plane and full of fumes. I got sick on the plane. Once parked again I got off the plane and tried to talk to some one, ANYONE, who could help but there was just one ticket person and a long line of angry customers. I never was able to schedule another connection in Ontario. At one point they said they would take my luggage off the plane and then said they wouldnt. So I got back on the plane prefering to be stranded with luggage rather than without. These Southwest people are rude and crude and have no idea what they are telling people! Why do they feel they have to tell people things that aren't true? Is it just some power trip and they enjoy wrecking the plans of their customers? Anyhow, I eventually landed in Vegas and once again there was no one who knew what was going on. No one could tell me how to get home to Atlanta. I had a boarding pass for the flight to Atlanta but when I tried to use it they said the boarding pass was no good. Some SWA jerk grabbed it out of my hands and said ""Hmm, it says it's for Atlanta"". Anyhow, they told me to go talk to customer service so I lost my seating assignment. At ""customer service"" they printed out another ticket and said to go get on the plane. I tried and again the boarding pass was not working. The whole time they were acting as if this was my fault, even though it was their obvious flawed way of doing things. Any airline this bad should not be allowed to fly. They are completely unsympathetic. Just rude and nasty if you express simple concerns about your schedule or luggage. In one breath they blame it on flight control, tell you what flight to get on, and then it all turns out to be bogus information. Keep in mind that Southwest perpetuated this mess over three days. Maybe somewhere someone was working on it but you could have fooled me. They looked like idiots and no one had any confidence in what they were saying. Southwest made a lot of people desperate for no reason. Ok, there was ice in Dallas but Southwest made the situation 10 times worse by telling people their flights were still taking off and convincing people to come to the airport. This made some people a bit panicky for no reason other than a few airline people wanting to look like they had all the answers. In fact their systems were failing, their people were confused and untrained, and they reacted rudely and aggressively."
111,Not Verified |  We booked a flight with Southwest Airlines from Dallas to Miami a day before we were to board a cruise. We had some bad weather in Dallas and they prematurely cancelled all flights for 2 days. No reason to cancel. We missed our cruise and it cost us over $2500. Never booking with them again.
112,"✅ Trip Verified |  My flight was originally a total of 4hr 25 mins and we were rescheduled one night prior and informed that we would not only be leaving earlier but a 6hr layover was added in another city with no explanation given. This turned out trip into a 10+ hour trip. This inconvenienced my family greatly. Also, I traveled with military personnel who is family my entire trip and had no issues anywhere else except for when staff at Gate 41 refused to allow us back with our group. We traveled as a group of 4, he scanned 2 of our passes and refused to scan the other 2 and sent us to the end of the line ultimately separating us and causing issues with our seating. This staff was not pleasant and did not allow our military personnel guest use her benefits properly even after we already spent 6 hours in the USO after once again being inconvenienced. This was my first time flying with Southwest Airlines and I was not pleased at all. I am not sure I’ll be back!"
113,"Not Verified |  Overall, the ride was beautiful, we had flown from 4:00 AM to 7:00 AM to Fort Myers' International and arrived on time and without any issues. Snacks were delicious and the cabin crew was well-rested and ready to serve people if needed. The seat was comfortable but got very hard after the long 2-hour flight. Entertainment was meh because you have to pay a fee to text on their in-flight internet service."
114,"✅ Trip Verified |  My wife and I have been traveling on Southwest for nearly three decades and generally appreciate their service or that they do their best to be helpful when travel plans go sideways. In fact we just had a trip through Southwest Vacations that was fantastic. Our latest experience with them, however, has been both eye-opening and frustrating. We had booked flights for February 2nd from Puerto Vallarta to Reno with a connection in Phoenix. We had flight 1299 from Puerto Vallarta to Phoenix and then flight 547 from Phoenix to Reno. We received an email from Southwest notifying us that our flights were changed from Puerto Vallarta to Denver and then Denver to Reno. We had seen this Denver connection when we were initially booking our trip however we did not want to fly from Mexico to Denver in the dead of the winter. Too much of a chance of being stuck in Mexico. I went on the Southwest website and could see that our original flights through Phoenix and on to Reno were still there and they were still selling tickets for these flights. I called Southwest customer service and asked that our flights be changed back to our original flights. The customer service representative changed us back to the original 1299 flight Puerto Vallarta to Phoenix but informed us (here’s where things got wonky) that we could no longer choose our original Phoenix to Reno flight 547 because the two flights were no longer ‘linked’ in their system. I asked her what she meant by that. Apparently, Southwest links certain flights together so when you search for a flight from A to B with a connection in between it will only show you these ‘linked’ flights. There may be other connecting flights that are departing earlier or later depending on your needs but you will not see them because they are not linked flights in their system. So our original flights were ‘linked’ when we booked them but were then ‘unlinked’ and changed by Southwest to Denver. And when I tried to change them back I was told that is no longer an option because those two flights are no longer linked. The only ‘linked’ flight through Phoenix was a 5-hour and 20 minute layover in Phoenix and then a flight stopping in Vegas and traveling on to Reno. I pointed out to Southwest that there was an earlier flight 867 through Vegas and on to Reno with only a 2 hour and 10 minute layover. I was told that was not an option because that was not a ‘linked’ flight. Seriously! You changed our flights! You un-linked our original flights and refuse to do anything to restore our original flights or alleviate the lengthy delay you left us with. C’mon Southwest you can do better. At the end of most flights the flight attendant will say ""We know you have a choice in flying and we thank you for flying Southwest."" And so my wife and I will spend our 5 hour and 20 minute layover contemplating our future travel plans and considering if it's time to exercise that choice. "
115,✅ Trip Verified | Very impressed when baggage unloaded in Houston. Every bag on the carousel was stacked neatly with handles facing out so we could easily grab them! I have never seen this before and made my long day of traveling have a happy ending ! Thanks to the baggage handler for caring about your customers!
116,"Not Verified |  We were part of the mess at the end of December 2022. Got the notice while we were on a cruise. I immediately booked a car one way realising flights were not an option that time of year, and would be super expensive. I feel extremely sorry for stories I've heard. I feel really bad for the employees of Southwest. Someone needs to get their act together for sure. We were refunded all travel and receipts sent in within 2 weeks. We are good. I hold no grudges."
117,✅ Trip Verified |  I have had more than one issue with Southwest the past 3 times and am absolutely disgusted. I was forced to give up my seat to other people after I boarded first as an A class member. Then the airline lost my luggage on my flight home because it turns out they decided not to put it on the plane and when I was told it would arrive and I would be contacted I wasn't. I was called at 12am and woken up. Then I had booked a flight home Dec 22-29 to fly home after life saving surgery to spend Christmas with my family until my flight was canceled twice so I ended up having to spend Christmas alone and lost money due to paid appointments thanks to Southwest. I rebooted my flight and requested assistance which was not given after I specifically told them I couldn't lift per Dr. Orders but didn't get help until second time where I had to go through security again andI had to pay fora carry on bag. I was told I would get a flight credit due to SW canceling my trip because they sent my mom one. When I called to ask about it again they told me I don't get one after I had been waiting for the email I was promised. I am beyond disgusted as a customer and if the situation is not handled I will not be using SW again and will make sure to tell everyone I know not to use them either. They are a dishonest company who doesn't care about their customers or taking care of them as promised. I understand mistakes happen but what happened to me is not acceptable and won't be tolerated. I deserve respect and for SW to keep their word.  I'm tired of being told no one will do anything for me. I have flown SW for 15yrs with no problems until recently when it been nothing but awful and I'm considering switching airlines from now on.
118,✅ Trip Verified |  FAA delay today is understandable for delays. However once flights are active again and we are delayed for an additional hour here hour there due to Southwests inability to have flight crews ready once FAA problem was resolved. You can only blame FAA for the morning delays not the lack of preparedness by your company.
119,"✅ Trip Verified | Ancient computer systems cost millions their holidays and huge additional expenses. I'll never be flying Southwest again as I don't trust them to get their own employees home, let alone paying customers."
120,"Not Verified |  This airline delayed for over an hour on multiple flights. This last one was apparently due to paperwork that needed to be done before we took off? I'm not sure what kind of nonsense that is but it's sounds like a complete waste of everyone's time. Instead of getting the entire plane where we needed to go we sat at the gate for hours due to this ""paperwork"". I used to love flying Southwest and now I will choose a different airline that actually cares about their passengers."
